name,place_id
Dixiana Farm,ChIJvYIPELxIQogRLJ_hUwwuEMQ
Carriage Lane Farm,ChIJuyyHmaRfQogRwngHLHbYnMA
Blue Moon Farm,ChIJOeF-Hcb1QogRaEgOx97mNQ4
Millennium Farms Kentucky,chijg9cfpnjjqograhi2w-x0riy
S & B Cattle Co,ChIJqR2cqX9EQogR_VOpPrvow6o
Performance Genetics LLC,ChIJ7_Eh3zpFQogRDCU5NcpBo3M
Calumet's King Ranch,ChIJzQDEZpJDQogRSQikkbe_5-I
Eaton Sales,ChIJAemrLDdEQogRxMaPYn-XiI8
Walmart Garden Center,ChIJ7UHnrpRPQogRuuZKkGGKXP4
Walmart Garden Center,ChIJ975Ht1JEQogRSNMAYHX_kkE
Horse Farm Tours,ChIJXd7HdiJbQogRPUdSPV8yoLA
US Consolidated Farm Services Agency,ChIJF636t89cQogR7Lwp47Mct_I
The Willows at Fritz Farm,ChIJeQCtBYpcQogR0KY1b12w4WM
Legacy Reserve at Fritz Farm,ChIJG387DopcQogR53WHlCgArOY
US Consolidated Farm Services Agency,ChIJMbEKKJFfQogRJc6VQQPxtfI
State Farm,ChIJ3TqRyadEQogRw_Wyex9IasM
"The Farm Clinic, Inc.",ChIJS9Ofk6hEQogRrpFiuwPBwhY
Farm Service Agency-Lexington,ChIJMWb9VSBDQogRMP8EXAKzweI
Shadwell Farm,chij6_amshzoqogr1chon8yy9du
Carriage Lane Farm,ChIJg-VgHDpeQogRTB86UopAoSQ
Community Farm Alliance,ChIJl7JwJ5ThQogRZDXOE1SWjX0
American National Insurance Co,ChIJkYHXF2NbQogRI9xjVomoEvY
Farm Bureau Insurance,ChIJ-U8j23qYQogR0wPqxLo4M8Y
Central Kentucky Ag Credit,ChIJeUaZT5ZEQogRjVF1XjVZ7pc
University of Kentucky AG,ChIJpSbzlWJcQogR0GBc_SAjYUA
"University of Kentucky Martin-Gatton College of Agriculture, Food and Environment",ChIJr2878bBEQogRgpMrC2bGPzI
Usda,ChIJT6Rl_CpdQogRd6UOkmYN5TY
Ariat Brand Shop,ChIJGee2I35cQogRKH04m14Cj5A
Kirkpatrick & Co,ChIJYTKLL_NEQogRxmsyJYgSlo0
Bonobos,ChIJbcu8bH5cQogRdVgIrJro4K0
American National Insurance Co,ChIJHZw3rZnhQogR5Qak_GUteNQ
Natural Resources Conservation,ChIJMbEKKJFfQogRUv0z9r-etpo
Alltech Global Headquarters,ChIJ-TcNf4NeQogRpIEvPIqFfP0
Alltech's Beverage Division,ChIJVwMpzJlEQogRlSwZjr49ipE
Hobbiton Farm | Versailles KY,ChIJlW34UWZiQogRNQpKUk4ee4Q
Tamme Valley Farm,ChIJjaBd2TScQogRhGbA-tsYufo
Tamme Valley Farm,ChIJA-_fUTCcQogReBl7zqOUA_s
Asbury University Mission Farm,ChIJ5_Oi6tiLQogRcK8-D4R68_M
Last Rose Homeport,ChIJ7aEv-ZGHQogRbufFC-NRYdI
Caverndale Farms,ChIJD_OmqhqbQogRpJmVNH0BrlY
Kentucky Farm Bureau Insurance Laurel County - London,ChIJZW_lDEPNXIgRkMuzebMAtlo
Kentucky Farm Bureau Insurance Whitley County - Corbin,ChIJTcJa4i3FXIgRDoDefOplcuQ
Kubota,ChIJX3eUHPfbXIgRCH-jnIZlK5M
State Farm Mutual Auto Insurance Co,chij9vqlfp01xygrhrqbkgo87ry
US Consolidated Farm Services Agency,ChIJj9fShafNXIgRnumLZWE-0uA
US Consolidated Farm Services Agency,ChIJ4RTEIY3-QogRw2Oe_hx81xI
Jefferson County Farm Bureau,ChIJPXDxqYoMaYgRBUfiqC_hBtw
Kentucky Farmers Bank,ChIJFVN1xNJ3RogRDkqCEbT7JCc
Natural Resources Conservation,ChIJeYHlgq3ZRYgR4ZAEbX-zJBA
Natural Resources Conservation,ChIJv3fLxZ92RogRaEVFCjzmoTs
Dizney Mountain Rodeo,ChIJ38sky7y4XIgRLu7th3l0CCI
Jeffrey Branum - State Farm Insurance Agent,ChIJYQi6z9i-XIgRHhEKx2Fae-8
Farm Bureau Insurance,chijreemq0hue4crexjlnfykabi
Kentucky Farm Bureau Regional Claims Office - London,ChIJCVncI7XSXIgRGonhn6mUCrc
State Farm,ChIJreemQ0HuE4cRI3DrT6CrJwc
Unique Insurance Service KY,ChIJn_yprinFXIgRcr-e8fhrzL0
Kentucky Farm Bureau Insurance Wayne County,ChIJYyDN0PJdXYgRZYVJnnoCEoU
State Farm,ChIJKxYHp_pJXYgR86AqQytiOW8
Pulaski Farm Bureau,ChIJbaGfvgVKXYgRoe739KuSuu0
Ghost Horse Highland Farm & Gifts,ChIJ9TW8x-g7Q4gR5_J727cRPE0
Dept of Agriculture,ChIJjx1R7OzIRIgR-Uc2MSciGV0
Natural Resources Conservation,ChIJJ8gm6ezIRIgRedJGADcp0aU
Natural Resources Conservation,ChIJTSVQ-0_ZRIgRu0RxcdD01hE
USDA Agricultural Services Center,ChIJ8flXerxyaYgRfTiTXLJ1r-s
FirstSource Solutions USA LLC,ChIJexaPGq6faYgRuBVyqOjgz-E
US Consolidated Farm Services Agency,ChIJy_PEQvvoaIgRp3hMov80SGM
USDA Natural Resources Conservation,chijvvvvvvakaygr9v0tkj-pzq0
Foundation For A Healthy Ky,ChIJD1CcW5KfaYgRd6ZdMzeoJZw
Tractor Supply Co.,ChIJ0SagOBUXaYgRvGKyBIKeOtw
Dollar General,ChIJlcREB98LaYgRCNVHcUnzDzU
Walnut Grove Nursery,ChIJ29D6cQeYaYgRqIpy7tlWR0c
Garretts Real Estate Group,ChIJCS-qIy6aaYgRKEsUFPtJB5w
State Farm Insurance,chijvcry1hmbqogrzgfv8ikmsqe
State Farm,ChIJw_rxLWKEQogR0FthUjLm_FA
Montgomery Farm & Garden,ChIJj8BY5RceQ4gRV3yfycmKsBg
US Consolidated Farm Services Agency,ChIJp_TRMafsQogR9p-TgAGwBz0
Farm Service Agency,ChIJ_5mYCP81XYgReu9jsbdkTq8
Kentucky Farm Bureau Regional Claims Office - Somerset,ChIJOT8j7odJXYgR8dtPOFy21UE
DG Market,ChIJ0TDNZEfbQogRWfAsdr7BwxM
Cobb-Vantress Production,ChIJUXdbBqRgXYgR1t1Ll1SWeKg
Kentucky Farm Worker Programs,ChIJ81ktf9ndZ4gR1BUNbyACbM0
Southern States - Morehead,ChIJIaxw2a8ORIgRX-MD6ScRAow
Kentucky Farm Bureau Insurance,ChIJi9qiICDHQYgRte3jJqvkcQ8
Royal Farms,ChIJF8NLsjG7Q4gRsvXqo3d-tb8
US Consolidated Farm Services Agency,ChIJF_Q6kQeuQ4gRKdlgKpDmCGw
Natural Resources Conservation,ChIJyfldhEFkQ4gRYdPuS3ZOFGE
US Agriculture Services Center,ChIJlRHxOQINQ4gRHIe402MMktk
Tipton Rocky Mountain Horses,ChIJi8cdOdGdQ4gRhRpDsAiu4mE
Beattyville/Lee County Tourism,ChIJ0wR0E7VkQ4gRq-IozhDc_q8
Hinkle Contracting,ChIJ_xJoHwpvQ4gRaRUmSfJ2B5Q
Hinkle Contracting Corporation,ChIJIVrAGIFmQ4gRE-jgfM-pmDg
Kentucky Voices for Health,ChIJ__-_ibGfaYgRqY2K7GrRgXI
Dragonsmeade Farm,ChIJgVogXbBSQogRrurdHCrfh7Q
Walnut Hall Stock Farm,ChIJkwaoEf1GQogR7TVUXR2HZ4Y
West Wind Stables,ChIJTfpcfUhMQogRwWs7_cUgHSk
Meade Tractor of Richmond,ChIJjR_cJgoCQ4gRlfsOnziPP6A
Madison County Farmers Market,ChIJhX0wBRwBQ4gR-B5WVOFsDvs
Larry Ray Knipp Agency,ChIJbYEWpnUNRIgR3SaVmvhsP-8
Ashbourne Farms,ChIJGVtGY26PaYgROng4fKrAtas
Mc Guire Farms,ChIJE81V3Ab1aYgRq43_eLQHiL0
Sue Massey Nursery Sales,ChIJud_nigmbaYgRIdFL5Kfy6v0
Riverfarm Nursery,ChIJ36uRwO2CaYgRisf1oj-FgoE
